#Material                red     green   blue    opacity
Air                      1.0     1.0     1.0     0
Lung                     0.2     0.2     0.2     1.0
AdiposeTissue            0.5     0.0     0.0     1.0
Muscle                   0.95    0.95    0.1     1.0
Cartilage                0.0     0.5     0.0     1.0
CartilBone               0.0     1.0     0.5     1.0
BoneCartil               0.5     0.0     1.0     1.0
Bone                     0.0     0.44    1.0     1.0
DenserBone               0.0     1.0     1.0     1.0
AlBone                   0.6     0.6     0.6     1.0
Aluminum                 1.0     1.0     1.0     1.0
DenserAluminum           1.0     1.0     1.0     1.0
IIron                    1.0     1.0     1.0     1.0

