# ProtonEnergy[MeV] RangeInWater[cm] SpotSigma[mm]
72.5 4.0 14.59
73.4 4.1 14.42
74.3 4.2 14.25
75.2 4.3 14.08
76.1 4.4 13.91
77.0 4.5 13.77
77.9 4.6 13.63
78.8 4.7 13.48
79.7 4.8 13.32
80.5 4.9 13.20
81.4 5.0 13.08
82.2 5.1 12.95
83.1 5.2 12.82
83.9 5.3 12.70
84.7 5.4 12.58
85.6 5.5 12.47
86.4 5.6 12.36
87.2 5.7 12.24
88.0 5.8 12.12
88.8 5.9 12.03
89.6 6.0 11.93
90.4 6.1 11.82
91.1 6.2 11.72
91.9 6.3 11.63
92.7 6.4 11.54
93.5 6.5 11.45
94.2 6.6 11.35
95.0 6.7 11.28
95.7 6.8 11.21
96.9 7.0 11.09
98.0 7.1 10.97
99.5 7.3 10.82
100.9 7.5 10.68
102.4 7.7 10.54
103.8 7.9 10.39
105.2 8.1 10.27
106.6 8.3 10.15
108.0 8.5 10.04
109.4 8.7 9.92
110.7 8.9 9.80
112.1 9.1 9.68
113.4 9.3 9.57
114.7 9.5 9.49
116.0 9.7 9.38
117.3 9.9 9.29
118.6 10.1 9.21
119.9 10.3 9.11
121.2 10.5 9.02
122.5 10.7 8.94
124.0 11.0 8.84
125.6 11.2 8.76
127.4 11.5 8.63
129.2 11.8 8.53
131.0 12.1 8.42
132.8 12.4 8.32
134.6 12.7 8.21
136.4 13.0 8.13
138.1 13.3 8.04
139.8 13.6 7.96
141.6 13.9 7.87
143.2 14.2 7.78
144.9 14.5 7.71
146.9 14.9 7.63
148.8 15.2 7.54
151.0 15.6 7.44
153.2 16.0 7.34
155.3 16.4 7.25
157.4 16.8 7.17
159.5 17.2 7.10
161.6 17.6 7.03
163.9 18.1 6.93
166.2 18.5 6.86
168.8 19.0 6.76
171.3 19.5 6.68
173.7 20.0 6.61
176.2 20.5 6.53
178.6 21.0 6.46
181.1 21.5 6.38
183.4 22.0 6.31
185.8 22.5 6.26
188.2 23.0 6.19
190.5 23.5 6.13
193.0 24.1 6.07
195.6 24.6 6.01
198.3 25.2 5.94
201.0 25.8 5.88
203.7 26.4 5.81
206.3 27.0 5.75
209.0 27.6 5.70
211.6 28.2 5.64
214.2 28.8 5.59
216.7 29.4 5.53
219.3 30.0 5.48
221.8 30.6 5.44
